,geoid,oz,LICadj,eligible,k=6,k6silhouette_score,not_picked
67353,51041100205,0,0,1,,,1
67354,51041100702,0,1,1,,,1
67355,51041100912,0,0,0,,,0
67356,51041100300,0,0,1,,,1
67357,51041100404,0,0,1,,,1
67358,51041100406,0,0,1,,,1
67359,51041100701,0,0,1,,,1
67360,51041100805,0,0,1,,,1
67361,51041100816,0,1,1,,,1
67362,51041100907,0,0,1,,,1
67363,51041100910,0,0,0,,,0
67364,51041100920,0,0,1,,,1
67365,51041101004,0,0,0,,,0
67366,51041100405,0,0,1,,,1
67367,51041100703,0,0,0,,,0
67368,51041100505,0,0,0,,,0
67369,51041100600,1,0,1,0.0,0.2597009343414614,0
67370,51041100814,0,0,1,,,1
67371,51041100902,0,0,0,,,0
67372,51153901100,0,0,1,,,1
67373,51153900901,0,0,1,,,1
67374,51153901209,0,0,0,,,0
67375,51153901212,0,0,0,,,0
67376,51153901221,0,0,0,,,0
67377,51153900600,1,0,1,1.0,-0.009522376923140176,0
67378,51153900404,0,0,1,,,1
67379,51153901222,0,0,0,,,0
67380,51153901403,0,0,1,,,1
67381,51153901702,0,0,1,,,1
67382,51153901001,0,0,0,,,0
67383,51023040100,0,0,1,,,1
67384,51023040200,0,0,1,,,1
67385,51620090100,0,1,1,,,1
67386,51620090200,1,0,1,0.0,0.40945036336660046,0
67387,51740210200,1,0,1,1.0,-0.0750953948032014,0
67388,51740211600,0,0,1,,,1
67389,51740212300,0,0,1,,,1
67390,51740212500,0,0,1,,,1
67391,51740212900,0,0,0,,,0
67392,51740210600,0,0,1,,,1
67393,51740212000,1,0,1,1.0,-0.05071629233125137,0
67394,51740213002,0,0,0,,,0
67395,51740210400,0,0,0,,,0
67396,51740210500,1,0,1,0.0,0.265793058726261,0
67397,51740212702,0,0,1,,,1
67398,51740212701,0,1,1,,,1
67399,51740213101,0,0,1,,,1
67400,51740210300,0,1,1,,,1
67401,51031020200,0,0,1,,,1
67402,51087200105,1,0,1,1.0,0.005320008295532158,0
67403,51087200112,0,0,0,,,0
67404,51087200503,0,1,1,,,1
67405,51087200600,0,0,1,,,1
67406,51087200106,1,1,1,5.0,0.030176954848120413,0
67407,51087200107,0,0,0,,,0
67408,51087200126,0,0,1,,,1
67409,51087200303,1,0,1,2.0,0.005933854696684296,0
67410,51810040404,0,0,0,,,0
67411,51810044806,1,0,1,2.0,0.19653019914750738,0
67412,51810045810,0,0,1,,,1
67413,51810046013,0,0,1,,,1
67414,51810041003,0,0,1,,,1
67415,51810045601,0,0,0,,,0
67416,51810040403,0,0,1,,,1
67417,51810044401,0,0,0,,,0
67418,51810046002,0,0,0,,,0
67419,51005080100,0,0,1,,,1
67420,51005080302,0,1,1,,,1
67421,51005080201,0,1,1,,,1
67422,51005080202,1,0,1,0.0,0.21255834767174075,0
67423,51005080301,0,0,0,,,0
67424,51191010700,0,0,1,,,1
67425,51191010100,1,0,1,0.0,0.3647967508964337,0
67426,51191010300,0,0,1,,,1
67427,51191011000,0,1,1,,,1
67428,51191010800,0,0,1,,,1
67429,51191010200,0,0,1,,,1
67430,51191010900,0,0,1,,,1
67431,51139030500,0,0,1,,,1
67432,51139030100,1,0,1,0.0,0.07115151550601682,0
67433,51139030400,0,0,1,,,1
67434,51139030300,0,0,1,,,1
67435,51139030200,0,0,1,,,1
67436,51155210100,0,0,1,,,1
67437,51155210400,0,0,1,,,1
67438,51155210300,1,0,1,5.0,-0.04957908801183329,0
67439,51155210700,0,0,1,,,1
67440,51155210500,0,0,1,,,1
67441,51155210600,0,1,1,,,1
67442,51187020700,0,0,1,,,1
67443,51187020100,0,0,1,,,1
67444,51187020500,0,0,1,,,1
67445,51187020300,0,0,1,,,1
67446,51187020400,0,0,1,,,1
67447,51187020200,0,0,0,,,0
